rowIndex,Name,urlColumn,url,mapId,slug,section,file_all,file_section,status,error
60,Meatpacking BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3847dcb5baf0001a11b1d?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3847dcb5baf0001a11b1d,meatpacking-bid,,all/5ca3847dcb5baf0001a11b1d__meatpacking-bid.png,,ok,
61,Montague Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38401cb5baf0001a11add?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38401cb5baf0001a11add,montague-street-bid,,all/5ca38401cb5baf0001a11add__montague-street-bid.png,,ok,
62,Myrtle Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383a5f7787b00017c0db0?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383a5f7787b00017c0db0,myrtle-avenue-bid,,all/5ca383a5f7787b00017c0db0__myrtle-avenue-bid.png,,ok,
63,Myrtle Avenue Brooklyn Partnership,Share Url (dark),https://share.livexyz.com/maplist/5b200d7cf9dbfe00031f8979?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b200d7cf9dbfe00031f8979,myrtle-avenue-brooklyn-partnership,,all/5b200d7cf9dbfe00031f8979__myrtle-avenue-brooklyn-partnership.png,,ok,
64,New Dorp BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3831ef7787b00017c0d5d?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3831ef7787b00017c0d5d,new-dorp-bid,,all/5ca3831ef7787b00017c0d5d__new-dorp-bid.png,,ok,
65,Park Slope 5th Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38314f7787b00017c0d49?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38314f7787b00017c0d49,park-slope-5th-avenue-bid,,all/5ca38314f7787b00017c0d49__park-slope-5th-avenue-bid.png,,ok,
66,SoHo Broadway BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3845acb5baf0001a11b17?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3845acb5baf0001a11b17,soho-broadway-bid,,all/5ca3845acb5baf0001a11b17__soho-broadway-bid.png,,ok,
67,Village Alliance BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3849acb5baf0001a11b28?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3849acb5baf0001a11b28,village-alliance-bid,,all/5ca3849acb5baf0001a11b28__village-alliance-bid.png,,ok,
68,Hamilton Heights-Sugar Hill,Share Url (dark),https://share.livexyz.com/maplist/64191b907ca8180001dce80d?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,64191b907ca8180001dce80d,hamilton-heights-sugar-hill,,all/64191b907ca8180001dce80d__hamilton-heights-sugar-hill.png,,ok,
69,Greenpoint,Share Url (dark),https://share.livexyz.com/maplist/641ba97909ab0c0001c080f5?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641ba97909ab0c0001c080f5,greenpoint,,all/641ba97909ab0c0001c080f5__greenpoint.png,,ok,
70,East Williamsburg,Share Url (dark),https://share.livexyz.com/maplist/641ba98ca579430001d27ccf?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641ba98ca579430001d27ccf,east-williamsburg,,all/641ba98ca579430001d27ccf__east-williamsburg.png,,ok,
71,Bedford-Stuyvesant (West),Share Url (dark),https://share.livexyz.com/maplist/641ba9be09ab0c0001c08100?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641ba9be09ab0c0001c08100,bedford-stuyvesant-west,,all/641ba9be09ab0c0001c08100__bedford-stuyvesant-west.png,,ok,
72,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Share Url (dark),https://share.livexyz.com/maplist/641ba9dea579430001d27cdd?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641ba9dea579430001d27cdd,carroll-gardens-cobble-hill-gowanus-red-hook,,all/641ba9dea579430001d27cdd__carroll-gardens-cobble-hill-gowanus-red-hook.png,,ok,
73,Ocean Hill,Share Url (dark),https://share.livexyz.com/maplist/641baa1a09ab0c0001c0810d?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641baa1a09ab0c0001c0810d,ocean-hill,,all/641baa1a09ab0c0001c0810d__ocean-hill.png,,ok,
74,East Flatbush-Erasmus,Share Url (dark),https://share.livexyz.com/maplist/641baa2509ab0c0001c08110?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641baa2509ab0c0001c08110,east-flatbush-erasmus,,all/641baa2509ab0c0001c08110__east-flatbush-erasmus.png,,ok,
75,East Flatbush-Rugby,Share Url (dark),https://share.livexyz.com/maplist/641baa40a579430001d27cef?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641baa40a579430001d27cef,east-flatbush-rugby,,all/641baa40a579430001d27cef__east-flatbush-rugby.png,,ok,
76,Greenwich Village,Share Url (dark),https://share.livexyz.com/maplist/641baa4d09ab0c0001c08118?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641baa4d09ab0c0001c08118,greenwich-village,,all/641baa4d09ab0c0001c08118__greenwich-village.png,,ok,
77,East Harlem (South),Share Url (dark),https://share.livexyz.com/maplist/641baa65a579430001d27cf7?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,641baa65a579430001d27cf7,east-harlem-south,,all/641baa65a579430001d27cf7__east-harlem-south.png,,ok,
78,South Williamsburg,Share Url (dark),https://share.livexyz.com/maplist/6423aee319e40f0001ec9632?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,6423aee319e40f0001ec9632,south-williamsburg,,all/6423aee319e40f0001ec9632__south-williamsburg.png,,ok,
79,SoHo-Little Italy-Hudson Square,Share Url (dark),https://share.livexyz.com/maplist/6423aef619e40f0001ec9635?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,6423aef619e40f0001ec9635,soho-little-italy-hudson-square,,all/6423aef619e40f0001ec9635__soho-little-italy-hudson-square.png,,ok,
80,Flatbush (West)-Ditmas Park-Parkville,Share Url (dark),https://share.livexyz.com/maplist/6426540819e40f0001edbca4?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,6426540819e40f0001edbca4,flatbush-west-ditmas-park-parkville,,all/6426540819e40f0001edbca4__flatbush-west-ditmas-park-parkville.png,,ok,
81,Concourse-Concourse Village,Share Url (dark),https://share.livexyz.com/maplist/6426541428d8b6000178f215?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,6426541428d8b6000178f215,concourse-concourse-village,,all/6426541428d8b6000178f215__concourse-concourse-village.png,,ok,
